"date","airTemp_mean","airTemp_max","airTemp_min","RH_mean","WS_mean","ppt_tot","solarRad_mean"
2022-02-01,13.4901666666667,20.88,6.934,24.8610416666667,3.78325,0,0.151958333333333
2022-02-02,9.25816666666667,12.84,2.55,33.9522916666667,4.94266666666667,0,0.224125
2022-02-03,6.46920833333333,14.1,-0.153,19.375,4.298,0,0.227375
2022-02-04,11.3849166666667,16.41,4.929,15.3945833333333,8.38258333333333,0,0.231166666666667
2022-02-05,12.5542083333333,20.83,6.182,14.57875,3.84425,0,0.230041666666667
2022-02-06,14.2065,22.79,5.752,17.0639583333333,4.9835,0,0.229166666666667
2022-02-07,15.6684583333333,21.29,7.783,18.3060416666667,6.46079166666667,0,0.229041666666667
2022-02-08,16.9704166666667,23.66,10.98,18.1189583333333,6.452625,0,0.233125
2022-02-09,19.4325,26.57,13.38,14.8041666666667,5.83691666666667,0,0.232375
2022-02-10,19.1920833333333,26,11.12,15.1504166666667,5.40833333333333,0,0.231291666666667
2022-02-11,17.7358333333333,27.31,8.48,23.77625,2.92545833333333,0,0.230458333333333
2022-02-12,19.425,27.84,8.56,16.9929583333333,5.01508333333333,0,0.240291666666667
2022-02-13,20.5870833333333,29.85,13.08,13.8455416666667,3.187125,0,0.2405
2022-02-14,16.9147916666667,28.89,6.016,17.9540416666667,2.84395833333333,0,0.243333333333333
2022-02-15,17.5579166666667,23.8,13.04,20.5577083333333,8.75975,0,0.24725
2022-02-16,10.7936666666667,15.64,7.106,55.8308333333333,4.44058333333333,0.02,0.202166666666667
2022-02-17,11.23475,18.8,2.678,44.0564583333333,4.46583333333333,0,0.245166666666667
2022-02-18,14.1080416666667,21.98,6.873,20.1777083333333,5.197125,0,0.255958333333333
2022-02-19,17.1358333333333,26.83,8.76,16.6723333333333,2.737625,0,0.250916666666667
2022-02-20,15.4484583333333,25.24,7.447,19.6939583333333,4.31283333333333,0,0.231291666666667
2022-02-21,13.2291666666667,17.55,8.88,42.7697916666667,7.74833333333333,0,0.2425
2022-02-22,12.3,18.31,8.72,58.0070833333333,8.10808333333333,0,0.238833333333333
2022-02-23,8.6365,12.49,5.159,76.425625,6.06308333333333,0.27,0.0977916666666667
2022-02-24,7.29429166666667,14.46,0.822,54.9154166666667,3.85166666666667,0,0.2655
2022-02-25,9.43295833333333,17.26,3.304,44.1260416666667,3.7485,0,0.260416666666667
2022-02-26,11.0412916666667,19.58,1.529,34.9745833333333,3.700875,0,0.267833333333333
2022-02-27,15.24375,22.85,8.13,24.0564583333333,6.11920833333333,0,0.247208333333333
2022-02-28,17.6420833333333,26.61,10.23,18.6983333333333,4.947375,0,0.22675
2022-03-01,17.809625,28.05,6.735,22.8010416666667,3.236875,0,0.265958333333333
2022-03-02,20.2020833333333,31.26,10.27,20.65625,2.63658333333333,0,0.247791666666667
2022-03-03,20.7458333333333,29.42,13.84,19.9177916666667,6.063375,0,0.264666666666667
2022-03-04,15.2483333333333,18.35,11.9,39.680625,8.37620833333333,0,0.205166666666667
2022-03-05,13.5025,19.83,8.31,57.9814583333333,5.98904166666667,0,0.269916666666667
2022-03-06,9.48995833333333,16.64,1.813,41.398125,2.41383333333333,0,0.285875
2022-03-07,11.32075,19.28,2.573,31.3570833333333,4.17858333333333,0,0.287666666666667
2022-03-08,11.1534166666667,19.35,3.734,25.5985416666667,3.5,0,0.291291666666667
2022-03-09,12.2766666666667,21.34,2.357,22.8135416666667,3.09058333333333,0,0.290416666666667
2022-03-10,15.3483333333333,22.06,10.44,24.105625,6.97670833333333,0,0.275875
2022-03-11,11.848,19.62,4.975,21.0647916666667,5.45208333333333,0,0.302583333333333
2022-03-12,16.7537083333333,26.23,7.849,12.6925,4.101,0,0.300791666666667
2022-03-13,16.3535416666667,26.37,5.543,17.7110416666667,3.55566666666667,0,0.298458333333333
2022-03-14,19.28375,28.62,8.47,16.6030625,3.85004166666667,0,0.294375
2022-03-15,21.72875,31.03,11.38,14.07925,3.46916666666667,0,0.293208333333333
2022-03-16,20.36375,27.22,11.77,19.0702083333333,4.667625,0,0.298125
2022-03-17,18.57,26.52,9.04,20.4110416666667,3.46391666666667,0,0.307583333333333
2022-03-18,18.6650833333333,28.38,7.952,13.7981458333333,3.46295833333333,0,0.307541666666667
2022-03-19,19.8920833333333,29.61,10.48,13.6791458333333,3.768625,0,0.280875
2022-03-20,16.9245833333333,21.23,10.26,36.9227083333333,5.39204166666667,0.01,0.2325
2022-03-21,15.8416666666667,22.7,10.27,24.155625,6.05645833333333,0,0.317125
2022-03-22,16.99325,26.25,5.497,18.1279166666667,4.37675,0,0.322541666666667
2022-03-23,19.6175,25.18,12.47,11.4500208333333,9.56470833333333,0,0.331333333333333
2022-03-24,20.0354166666667,31.27,8.08,10.2542708333333,3.40925,0,0.321083333333333
2022-03-25,23.5108333333333,36.03,12.06,11.7195,3.02304166666667,0,0.293541666666667
2022-03-26,24.25,34.61,15.52,12.6587708333333,3.95620833333333,0,0.290958333333333
2022-03-27,24.5770833333333,32.59,18.46,10.4193125,6.99483333333333,0,0.317291666666667
2022-03-28,20.8154166666667,25.06,14.08,23.7964583333333,10.8785416666667,0,0.1115
2022-03-29,15.0333333333333,20.32,11.32,61.9797916666667,6.38758333333333,0.07,0.255125
2022-03-30,17.24875,24.9,9.28,45.7941666666667,4.311375,0,0.311916666666667
